auction_id,auction_description,round,start_time,end_time,proceeds,net_proceeds
107,3.7 GHz,43,2021-02-17 14:30:00,2021-02-17 15:00:00,81168677645,81114481921
107,3.7 GHz,42,2021-02-17 13:30:00,2021-02-17 14:00:00,81168618775,81114423051
107,3.7 GHz,41,2021-02-17 12:00:00,2021-02-17 12:30:00,81168542555,81114346831
107,3.7 GHz,40,2021-02-17 11:00:00,2021-02-17 11:30:00,81168542555,81114346831
107,3.7 GHz,39,2021-02-17 10:00:00,2021-02-17 10:30:00,81168463245,81114267521
107,3.7 GHz,38,2021-02-16 16:30:00,2021-02-16 17:00:00,81168289474,81114093840
107,3.7 GHz,37,2021-02-16 15:30:00,2021-02-16 16:00:00,81167971584,81113776929
107,3.7 GHz,36,2021-02-16 14:30:00,2021-02-16 15:00:00,81167668584,81113473929
107,3.7 GHz,35,2021-02-16 13:30:00,2021-02-16 14:00:00,81167016184,81112821529
107,3.7 GHz,34,2021-02-16 12:00:00,2021-02-16 12:30:00,81166289273,81112094618
107,3.7 GHz,33,2021-02-16 11:00:00,2021-02-16 11:30:00,81165876063,81111681408
107,3.7 GHz,32,2021-02-16 10:00:00,2021-02-16 10:30:00,81165130782,81110936127
107,3.7 GHz,31,2021-02-12 12:00:00,2021-02-12 12:30:00,81164276722,81110082067
107,3.7 GHz,30,2021-02-12 11:00:00,2021-02-12 11:30:00,81163096061,81108901406
107,3.7 GHz,29,2021-02-12 10:00:00,2021-02-12 10:30:00,81160403051,81106208396
107,3.7 GHz,28,2021-02-11 16:30:00,2021-02-11 17:00:00,81158672441,81104477786
107,3.7 GHz,27,2021-02-11 15:30:00,2021-02-11 16:00:00,81155996451,81101801796
107,3.7 GHz,26,2021-02-11 14:30:00,2021-02-11 15:00:00,81153928141,81099733486
107,3.7 GHz,25,2021-02-11 13:30:00,2021-02-11 14:00:00,81150753901,81096559246
107,3.7 GHz,24,2021-02-11 12:00:00,2021-02-11 12:30:00,81143406101,81089211446
107,3.7 GHz,23,2021-02-11 11:00:00,2021-02-11 11:30:00,81141081710,81086887055
107,3.7 GHz,22,2021-02-11 10:00:00,2021-02-11 10:30:00,81134602099,81080407444
107,3.7 GHz,21,2021-02-10 16:30:00,2021-02-10 17:00:00,81129916368,81075721713
107,3.7 GHz,20,2021-02-10 15:30:00,2021-02-10 16:00:00,81115310908,81061116253
107,3.7 GHz,19,2021-02-10 14:30:00,2021-02-10 15:00:00,81110843258,81056648603
107,3.7 GHz,18,2021-02-10 13:30:00,2021-02-10 14:00:00,81106289338,81052094683
107,3.7 GHz,17,2021-02-10 12:00:00,2021-02-10 12:30:00,81096579868,81042385213
107,3.7 GHz,16,2021-02-10 11:00:00,2021-02-10 11:30:00,81090937878,81036743223
107,3.7 GHz,15,2021-02-10 10:00:00,2021-02-10 10:30:00,81083826688,81029632033
107,3.7 GHz,14,2021-02-09 16:30:00,2021-02-09 17:00:00,81073552568,81019357913
107,3.7 GHz,13,2021-02-09 15:30:00,2021-02-09 16:00:00,81067346927,81013152272
107,3.7 GHz,12,2021-02-09 14:30:00,2021-02-09 15:00:00,81058794846,81004600191
107,3.7 GHz,11,2021-02-09 13:30:00,2021-02-09 14:00:00,81050759156,80996564501
107,3.7 GHz,10,2021-02-09 12:00:00,2021-02-09 12:30:00,81039818876,80985624221
107,3.7 GHz,9,2021-02-09 11:00:00,2021-02-09 11:30:00,81028337126,80974142471
107,3.7 GHz,8,2021-02-09 10:00:00,2021-02-09 10:30:00,81015486756,80961292101
107,3.7 GHz,7,2021-02-08 16:30:00,2021-02-08 17:00:00,80998910365,80944715710
107,3.7 GHz,6,2021-02-08 15:30:00,2021-02-08 16:00:00,80993333875,80939139220
107,3.7 GHz,5,2021-02-08 14:30:00,2021-02-08 15:00:00,80986866885,80932672230
107,3.7 GHz,4,2021-02-08 13:30:00,2021-02-08 14:00:00,80982330515,80928135860
107,3.7 GHz,3,2021-02-08 12:00:00,2021-02-08 12:30:00,80970096505,80915901850
107,3.7 GHz,2,2021-02-08 11:00:00,2021-02-08 11:30:00,80958374155,80904179500
107,3.7 GHz,1,2021-02-08 10:00:00,2021-02-08 10:30:00,80935138034,80880943379
107,3.7 GHz,0,,,80916832754,80862638099
