auction_id,round,bidder,frn,region,market_number,market_name,assignment_category,assignment_category_name,winnings,option,assignment_round_bid,random_number,clock_payment
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,C1.C2.C3.C4,5890,14907491,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,B5.C1.C2.C3,41200,4143859,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,B4.B5.C1.C2,88300,8770515,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,B3.B4.B5.C1,88300,1482129,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,B2.B3.B4.B5,111840,10440049,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,B1.B2.B3.B4,117730,9556172,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,A5.B1.B2.B3,117730,13313967,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,A4.A5.B1.B2,117730,8066673,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,A3.A4.A5.B1,105950,2921155,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,A2.A3.A4.A5,100070,2882158,3189600
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,A1.A2.A3.A4,0,8663530,3189600
107,43,Cellco Partnership,0003290673,REAG 5,PEA372,"Colby, KS",ABC,Assignment,9,B1.B2.B3.B4.B5.C1.C2.C3.C4,0,582019,7176600
107,43,Cellco Partnership,0003290673,REAG 5,PEA372,"Colby, KS",ABC,Assignment,9,A5.B1.B2.B3.B4.B5.C1.C2.C3,0,16173214,7176600
107,43,Cellco Partnership,0003290673,REAG 5,PEA372,"Colby, KS",ABC,Assignment,9,A4.A5.B1.B2.B3.B4.B5.C1.C2,0,11341171,7176600
107,43,Cellco Partnership,0003290673,REAG 5,PEA372,"Colby, KS",ABC,Assignment,9,A3.A4.A5.B1.B2.B3.B4.B5.C1,82340,10816576,7176600
107,43,Cellco Partnership,0003290673,REAG 5,PEA372,"Colby, KS",ABC,Assignment,9,A2.A3.A4.A5.B1.B2.B3.B4.B5,82340,5097705,7176600
107,43,Cellco Partnership,0003290673,REAG 5,PEA372,"Colby, KS",ABC,Assignment,9,A1.A2.A3.A4.A5.B1.B2.B3.B4,200082340,281830,7176600
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,C4,0,16482617,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,C3,50000,14773250,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,C2,0,8119459,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,C1,0,14866725,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,B5,0,15658810,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,B4,0,14364160,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,B3,0,11838019,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,B2,0,10408633,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,B1,0,15954298,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,A5,0,14232686,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,A4,0,176635,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,A3,0,282516,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,A2,0,4857763,797400
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,A1,0,4887877,797400
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,C1.C2.C3.C4,7510,13853960,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,B5.C1.C2.C3,52570,14652886,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,B4.B5.C1.C2,112650,870110,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,B3.B4.B5.C1,112650,537037,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,B2.B3.B4.B5,142700,8891984,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,B1.B2.B3.B4,150210,15664896,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,A5.B1.B2.B3,150210,9886788,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,A4.A5.B1.B2,150210,9467818,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,A3.A4.A5.B1,135190,8638722,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,A2.A3.A4.A5,127680,9769188,4117080
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,A1.A2.A3.A4,0,12737930,4117080
107,42,Cellco Partnership,0003290673,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,9,B1.B2.B3.B4.B5.C1.C2.C3.C4,0,10811244,9263430
107,42,Cellco Partnership,0003290673,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,9,A5.B1.B2.B3.B4.B5.C1.C2.C3,0,11897655,9263430
107,42,Cellco Partnership,0003290673,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,9,A4.A5.B1.B2.B3.B4.B5.C1.C2,0,1618431,9263430
107,42,Cellco Partnership,0003290673,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,9,A3.A4.A5.B1.B2.B3.B4.B5.C1,96700,4607871,9263430
