auction_id,auction_description,round,start_time,end_time,proceeds,net_proceeds,activity_requirement,activity_limit_percentage,increment_percentage,products_with_demand_greater_than_supply,products_with_demand_equal_to_supply,products_with_demand_less_than_supply
107,3.7 GHz,97,2021-01-15 12:00:00,2021-01-15 12:20:00,80916832754,80862638099,100,120,10,0,452,0
107,3.7 GHz,96,2021-01-15 11:00:00,2021-01-15 11:20:00,80916832754,80838382652,100,120,10,2,450,0
107,3.7 GHz,95,2021-01-15 10:00:00,2021-01-15 10:20:00,80916300754,80837495652,100,120,10,1,451,0
107,3.7 GHz,94,2021-01-14 16:30:00,2021-01-14 16:50:00,80915978754,80837225402,100,120,10,1,451,0
107,3.7 GHz,93,2021-01-14 15:30:00,2021-01-14 15:50:00,80915631764,80836842555,100,120,10,3,449,0
107,3.7 GHz,92,2021-01-14 14:30:00,2021-01-14 14:50:00,80914819764,80835825305,100,120,10,3,449,0
107,3.7 GHz,91,2021-01-14 13:30:00,2021-01-14 13:50:00,80914047314,80835134693,100,120,10,4,448,0
107,3.7 GHz,90,2021-01-14 12:00:00,2021-01-14 12:20:00,80913109314,80834197443,100,120,10,4,448,0
107,3.7 GHz,89,2021-01-14 11:00:00,2021-01-14 11:20:00,80912365074,80833580953,100,120,10,5,447,0
107,3.7 GHz,88,2021-01-14 10:00:00,2021-01-14 10:20:00,80911763074,80833048453,100,120,10,5,447,0
107,3.7 GHz,87,2021-01-13 16:30:00,2021-01-13 16:50:00,80910685074,80832033703,100,120,10,10,442,0
107,3.7 GHz,86,2021-01-13 15:30:00,2021-01-13 15:50:00,80900525610,80821931239,100,120,10,5,447,0
107,3.7 GHz,85,2021-01-13 14:30:00,2021-01-13 14:50:00,80897292758,80818757281,100,120,10,11,441,0
107,3.7 GHz,84,2021-01-13 13:30:00,2021-01-13 13:50:00,80880198758,80801750031,100,120,10,11,441,0
107,3.7 GHz,83,2021-01-13 12:00:00,2021-01-13 12:20:00,80864637730,80786175753,100,120,10,10,442,0
107,3.7 GHz,82,2021-01-13 11:00:00,2021-01-13 11:20:00,80854897930,80776521203,100,120,10,12,440,0
107,3.7 GHz,81,2021-01-13 10:00:00,2021-01-13 10:20:00,80839342474,80760376247,100,120,10,11,441,0
107,3.7 GHz,80,2021-01-12 16:30:00,2021-01-12 17:00:00,80832121582,80752542534,100,120,10,14,438,0
107,3.7 GHz,79,2021-01-12 15:00:00,2021-01-12 15:30:00,80823901860,80743872312,100,120,10,18,434,0
107,3.7 GHz,78,2021-01-12 13:30:00,2021-01-12 14:00:00,80814367860,80732326512,100,120,10,21,431,0
107,3.7 GHz,77,2021-01-12 11:30:00,2021-01-12 12:00:00,80797161860,80713244662,100,120,10,21,431,0
