auction_id,round,bidder,frn,bidding_credit_pct,bidding_credit_type,eligibility,activity_upper_limit,required_activity,activity,req_commitment,req_commitment_discount_capped,req_net_commitment,req_commitment_discount_uncapped,req_commitment_discount_uncapped_small,processed_activity,commitment,commitment_discount_capped,net_commitment,commitment_discount_uncapped,commitment_discount_uncapped_small,next_round_eligibility,next_round_activity_upper_limit,next_round_required_activity
107,97,8538 Green Street LLC,0028676666,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,97,"AMA Communications, LLC",0013822721,15,Rural,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,
107,97,AT&T Spectrum Frontiers LLC,0027840180,0,,25006380,30007656,25006380,25000130,25673200000,,,,,25006380,23373079996,,,,,25006380,,
107,97,"Agri-Valley Communications, Inc.",0003778362,15,Rural,1540,1848,1540,1540,5408000,811200,4596800,811200,,1540,4915460,737319,4178141,737319,,1540,,
107,97,Bluegrass Consortium,0025234709,15,Rural,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,
107,97,"C&C Wireless Holding Company, LLC",0029965068,0,,0,0,0,0,0,,,,,0,0,,,,,0,,
107,97,C494C17Y Co.,0030007462,0,,0,0,0,0,0,,,,,0,0,,,,,0,,
107,97,"Cal.net, Inc.",0020855656,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,97,"California Internet, L.P. dba GeoLinks",0023707953,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,97,"Canopy Spectrum, LLC",0029963048,25,Small Business,139860,167832,139860,860,914000,228500,685500,228500,228500,139860,197021760,25000000,172021760,49255440,23320309,139860,,
107,97,"Carolina West Wireless, Inc.",0001940022,15,Rural,4770,5724,4770,2600,12252000,1837800,10414200,1837800,,4770,18565480,2784822,15780658,2784822,,4770,,
107,97,Cellco Partnership,0003290673,0,,48831680,58598016,48831680,44435880,45900470000,,,,,48829860,45263378683,,,,,48829860,,
107,97,"Cellular South Licenses, LLC",0020434767,0,,20280,24336,20280,20280,54840000,,,,,20280,49850284,,,,,20280,,
107,97,"Central Texas Telephone Investments, LP",0001649508,15,Rural,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,
107,97,"Cox Communications , Inc.",0001834696,0,,0,0,0,0,0,,,,,0,0,,,,,0,,
107,97,"Cross Telephone Company, L.L.C.",0001700616,15,Rural,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,
107,97,"East Kentucky Network, LLC",0001786607,15,Rural,3700,4440,3700,0,0,0,0,0,,3700,8675753,1301363,7374390,1301363,,3700,,
107,97,Etheric Networks Incorporated,0013358395,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,97,"FTC Management Group, Inc.",0004600268,15,Rural,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,
107,97,"Grand River Communications, Inc.",0003737392,15,Rural,220,264,220,220,1750000,262500,1487500,262500,,220,1590200,238530,1351670,238530,,220,,
107,97,Granite Wireless LLC,0030007280,0,,60,72,60,0,0,,,,,60,170510,,,,,60,,
107,97,"Hilliary Acquisition Corp 2016, LLC",0025853409,15,Rural,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,
107,97,"Horry Telephone Cooperative, Inc.",0001886944,15,Rural,2550,3060,2550,2550,8404000,1260600,7143400,1260600,,2550,7638336,1145750,6492586,1145750,,2550,,
107,97,"InfoWest, Inc",0016096398,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,97,"LICT Wireless Broadband Company, LLC",0025243858,0,,1280,1536,1280,1220,3884000,,,,,1280,4267485,,,,,1280,,
107,97,"Leap Communications, LLC",0025644741,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,97,Little Bear Wireless L.L.C.,0029996568,0,,640,768,640,640,2762000,,,,,640,2510020,,,,,640,,
107,97,MB License Co LLC,0029998416,0,,0,0,0,0,0,,,,,0,0,,,,,0,,
107,97,Mark Twain Communications Company,0002531879,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,97,Mountain West Technologies Corporation,0015643182,15,Rural,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,
107,97,"NE Colorado Cellular, Inc.",0001607225,15,Rural,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,
107,97,"NewLevel II, L.P.",0029984747,0,,1652500,1983000,1652500,1652500,1404547000,,,,,1652500,1276857139,,,,,1652500,,
107,97,"Nex-Tech Wireless, L.L.C.",0012144150,15,Rural,2290,2748,2290,1740,10310000,1546500,8763500,1546500,,2290,12157510,1823627,10333883,1823627,,2290,,
