auction_id,market_number,market_name,market_population,bidding_units,small_market_indicator
107,PEA001,"New York, NY",25237061,757100,N
107,PEA002,"Los Angeles, CA",19410169,582300,N
107,PEA003,"Chicago, IL",9366713,281000,N
107,PEA004,"San Francisco, CA",9027937,270800,N
107,PEA005,"Baltimore, MD-Washington, DC",7842134,235300,N
107,PEA006,"Philadelphia, PA",7587252,227600,N
107,PEA007,"Boston, MA",6776035,203300,N
107,PEA008,"Dallas, TX",6452472,193600,N
107,PEA009,"Miami, FL",6291880,188800,N
107,PEA010,"Houston, TX",5891999,176800,N
107,PEA011,"Atlanta, GA",5435312,163100,N
107,PEA012,"Detroit, MI",5137479,154100,N
107,PEA013,"Orlando, FL",4562642,136900,N
107,PEA014,"Cleveland, OH",4096678,122900,N
107,PEA015,"Phoenix, AZ",3817117,114500,N
107,PEA016,"Seattle, WA",3792218,113800,N
107,PEA017,"Minneapolis-St. Paul, MN",3390091,101700,N
107,PEA018,"San Diego, CA",3095313,92900,N
107,PEA019,"Portland, OR",3022643,90700,N
107,PEA020,"Denver, CO",2789669,83700,N
107,PEA021,"Tampa, FL",2783243,83500,N
107,PEA022,"Sacramento, CA",2722415,81700,N
107,PEA023,"Pittsburgh, PA",2399667,72000,N
107,PEA024,"Saint Louis, MO",2396938,71900,N
107,PEA025,"Cincinnati, OH",2196428,65900,N
107,PEA026,"Las Vegas, NV",2151455,64500,N
107,PEA027,"Salt Lake City, UT",2142152,64300,N
107,PEA028,"San Antonio, TX",1999689,60000,N
107,PEA029,"Jacksonville, FL",1918264,57500,N
107,PEA030,"Kansas City, MO",1810075,54300,N
107,PEA031,"Indianapolis, IN",1769011,53100,N
107,PEA032,"Nashville, TN",1748445,52500,N
107,PEA033,"Virginia Beach, VA",1698835,51000,N
107,PEA034,"Fresno, CA",1676476,50300,N
107,PEA035,"Austin, TX",1628809,48900,N
107,PEA036,"New Orleans, LA",1622143,48700,N
107,PEA037,"Columbus, OH",1582917,47500,N
107,PEA038,"Milwaukee, WI",1555908,46700,N
107,PEA039,"Oklahoma City, OK",1446527,43400,N
107,PEA040,"Birmingham, AL",1399686,42000,N
