auction_id,round,market_number,market_name,category,round_opening_price,round_clock_price,aggregate_demand,posted_price,next_round_clock_price,bidding_units,supply,population
107,1,PEA001,"New York, NY",A,15142000,15142000,22,15142000,16657000,757100,5,25237061
107,1,PEA001,"New York, NY",BC,15142000,15142000,33,15142000,16657000,757100,9,25237061
107,1,PEA002,"Los Angeles, CA",A,11646000,11646000,20,11646000,12811000,582300,5,19410169
107,1,PEA002,"Los Angeles, CA",BC,11646000,11646000,26,11646000,12811000,582300,9,19410169
107,1,PEA003,"Chicago, IL",A,5620000,5620000,19,5620000,6182000,281000,5,9366713
107,1,PEA003,"Chicago, IL",BC,5620000,5620000,30,5620000,6182000,281000,9,9366713
107,1,PEA004,"San Francisco, CA",A,5417000,5417000,19,5417000,5959000,270800,5,9027937
107,1,PEA004,"San Francisco, CA",BC,5417000,5417000,26,5417000,5959000,270800,9,9027937
107,1,PEA005,"Baltimore, MD-Washington, DC",ABC,4705000,4705000,41,4705000,5176000,235300,14,7842134
107,1,PEA006,"Philadelphia, PA",A,4552000,4552000,19,4552000,5008000,227600,5,7587252
107,1,PEA006,"Philadelphia, PA",BC,4552000,4552000,18,4552000,5008000,227600,9,7587252
107,1,PEA007,"Boston, MA",A,4066000,4066000,19,4066000,4473000,203300,5,6776035
107,1,PEA007,"Boston, MA",BC,4066000,4066000,18,4066000,4473000,203300,9,6776035
107,1,PEA008,"Dallas, TX",A,3871000,3871000,19,3871000,4259000,193600,5,6452472
107,1,PEA008,"Dallas, TX",BC,3871000,3871000,18,3871000,4259000,193600,9,6452472
107,1,PEA009,"Miami, FL",A,3775000,3775000,19,3775000,4153000,188800,5,6291880
107,1,PEA009,"Miami, FL",BC,3775000,3775000,18,3775000,4153000,188800,9,6291880
107,1,PEA010,"Houston, TX",A,3535000,3535000,19,3535000,3889000,176800,5,5891999
107,1,PEA010,"Houston, TX",BC,3535000,3535000,18,3535000,3889000,176800,9,5891999
107,1,PEA011,"Atlanta, GA",ABC,3261000,3261000,35,3261000,3588000,163100,14,5435312
107,1,PEA012,"Detroit, MI",A,3082000,3082000,19,3082000,3391000,154100,5,5137479
107,1,PEA012,"Detroit, MI",BC,3082000,3082000,16,3082000,3391000,154100,9,5137479
107,1,PEA013,"Orlando, FL",A,2738000,2738000,19,2738000,3012000,136900,5,4562642
107,1,PEA013,"Orlando, FL",BC,2738000,2738000,20,2738000,3012000,136900,9,4562642
107,1,PEA014,"Cleveland, OH",A,2458000,2458000,19,2458000,2704000,122900,5,4096678
107,1,PEA014,"Cleveland, OH",BC,2458000,2458000,20,2458000,2704000,122900,9,4096678
107,1,PEA015,"Phoenix, AZ",A,2290000,2290000,19,2290000,2519000,114500,5,3817117
107,1,PEA015,"Phoenix, AZ",BC,2290000,2290000,20,2290000,2519000,114500,9,3817117
107,1,PEA016,"Seattle, WA",A,2275000,2275000,19,2275000,2503000,113800,5,3792218
107,1,PEA016,"Seattle, WA",BC,2275000,2275000,17,2275000,2503000,113800,9,3792218
107,1,PEA017,"Minneapolis-St. Paul, MN",A,2034000,2034000,19,2034000,2238000,101700,5,3390091
107,1,PEA017,"Minneapolis-St. Paul, MN",BC,2034000,2034000,16,2034000,2238000,101700,9,3390091
107,1,PEA018,"San Diego, CA",A,1857000,1857000,19,1857000,2043000,92900,5,3095313
107,1,PEA018,"San Diego, CA",BC,1857000,1857000,19,1857000,2043000,92900,9,3095313
107,1,PEA019,"Portland, OR",A,1814000,1814000,15,1814000,1996000,90700,5,3022643
107,1,PEA019,"Portland, OR",BC,1814000,1814000,11,1814000,1996000,90700,9,3022643
107,1,PEA020,"Denver, CO",ABC,1674000,1674000,39,1674000,1842000,83700,14,2789669
107,1,PEA021,"Tampa, FL",A,1670000,1670000,19,1670000,1837000,83500,5,2783243
107,1,PEA021,"Tampa, FL",BC,1670000,1670000,15,1670000,1837000,83500,9,2783243
107,1,PEA022,"Sacramento, CA",A,1633000,1633000,15,1633000,1797000,81700,5,2722415
107,1,PEA022,"Sacramento, CA",BC,1633000,1633000,11,1633000,1797000,81700,9,2722415
107,1,PEA023,"Pittsburgh, PA",A,1440000,1440000,15,1440000,1584000,72000,5,2399667
107,1,PEA023,"Pittsburgh, PA",BC,1440000,1440000,11,1440000,1584000,72000,9,2399667
107,1,PEA024,"Saint Louis, MO",A,1438000,1438000,19,1438000,1582000,71900,5,2396938
107,1,PEA024,"Saint Louis, MO",BC,1438000,1438000,15,1438000,1582000,71900,9,2396938
107,1,PEA025,"Cincinnati, OH",A,1318000,1318000,15,1318000,1450000,65900,5,2196428
107,1,PEA025,"Cincinnati, OH",BC,1318000,1318000,11,1318000,1450000,65900,9,2196428
107,1,PEA026,"Las Vegas, NV",A,1291000,1291000,21,1291000,1421000,64500,5,2151455
107,1,PEA026,"Las Vegas, NV",BC,1291000,1291000,17,1291000,1421000,64500,9,2151455
107,1,PEA027,"Salt Lake City, UT",A,1285000,1285000,24,1285000,1414000,64300,5,2142152
107,1,PEA027,"Salt Lake City, UT",BC,1285000,1285000,15,1285000,1414000,64300,9,2142152
107,1,PEA028,"San Antonio, TX",A,1200000,1200000,19,1200000,1320000,60000,5,1999689
107,1,PEA028,"San Antonio, TX",BC,1200000,1200000,15,1200000,1320000,60000,9,1999689
107,1,PEA029,"Jacksonville, FL",A,1151000,1151000,19,1151000,1267000,57500,5,1918264
107,1,PEA029,"Jacksonville, FL",BC,1151000,1151000,15,1151000,1267000,57500,9,1918264
