auction_id,round,bidder,frn,region,market_number,market_name,assignment_category,assignment_category_name,winnings,clock_payment,option_assigned,assignment_round_bid,vickrey_price,core_adjustment,assignment_payment,gross_payment
107,43,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA372,"Colby, KS",ABC,Assignment,4,3189600,B5.C1.C2.C3,41200,0,0,0,3189600
107,43,Cellco Partnership,0003290673,REAG 5,PEA372,"Colby, KS",ABC,Assignment,9,7176600,A1.A2.A3.A4.A5.B1.B2.B3.B4,200082340,58870,0,58870,7235470
107,43,"Nex-Tech Wireless, L.L.C.",0012144150,REAG 5,PEA372,"Colby, KS",ABC,Assignment,1,797400,C4,0,0,0,0,797400
107,42,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,4,4117080,B5.C1.C2.C3,52570,0,0,0,4117080
107,42,Cellco Partnership,0003290673,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,9,9263430,A1.A2.A3.A4.A5.B1.B2.B3.B4,200096700,76220,0,76220,9339650
107,42,"LICT Wireless Broadband Company, LLC",0025243858,REAG 5,PEA375;PEA404,"Deming, NM;Kanab, UT",ABC,Assignment,1,1029270,C4,0,0,0,0,1029270
107,41,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA317,"Beatrice, NE",ABC,Assignment,3,8292000,B4.B5.C1,2865800,0,0,0,8292000
107,41,Cellco Partnership,0003290673,REAG 5,PEA317,"Beatrice, NE",ABC,Assignment,8,22112000,A1.A2.A3.A4.A5.B1.B2.B3,200180110,0,0,0,22112000
107,41,United States Cellular Corporation,0004372322,REAG 5,PEA317,"Beatrice, NE",ABC,Assignment,3,8292000,C2.C3.C4,10000010,0,0,0,8292000
107,40,AT&T Spectrum Frontiers LLC,0027840180,REAG 2,PEA386,"Barnwell, SC",ABC,Assignment,4,1105264,B5.C1.C2.C3,38610,0,0,0,1105264
107,40,Cellco Partnership,0003290673,REAG 2,PEA386,"Barnwell, SC",ABC,Assignment,9,2486844,A1.A2.A3.A4.A5.B1.B2.B3.B4,50000000,55160,0,55160,2542004
107,40,"Horry Telephone Cooperative, Inc.",0001886944,REAG 2,PEA386,"Barnwell, SC",ABC,Assignment,1,276316,C4,0,0,0,0,276316
107,40,AT&T Spectrum Frontiers LLC,0027840180,REAG 5,PEA316,"Rock Springs, WY",ABC,Assignment,4,6247200,B4.B5.C1.C2,120770,0,0,0,6247200
107,40,Cellco Partnership,0003290673,REAG 5,PEA316,"Rock Springs, WY",ABC,Assignment,8,12494400,A1.A2.A3.A4.A5.B1.B2.B3,176216070,24150,0,24150,12518550
107,40,Union Telephone Company,0001630201,REAG 5,PEA316,"Rock Springs, WY",ABC,Assignment,2,3123600,C3.C4,0,0,0,0,3123600
